modzcta,modzcta_name,label,lat,lon,hospitalization_count_28day,hospitalization_rate_28day,death_count_28day,death_rate_28day,daterange
11236,Canarsie,11236,40.640004,-73.901459,37,38.1,,,August 1-August 28
11237,Bushwick/East Williamsburg,11237,40.704153,-73.920883,13,27.1,,,August 1-August 28
11238,Clinton Hill/Prospect Heights,11238,40.679179,-73.963804,11,20.5,,,August 1-August 28
11239,East New York,11239,40.64753,-73.882398,8,61.4,,,August 1-August 28
11354,Flushing/Murray Hill,11354,40.76863,-73.827229,18,33.4,,,August 1-August 28
11355,Flushing/Murray Hill/Queensboro Hill,11355,40.751459,-73.821014,27,34.2,,,August 1-August 28
11356,College Point,11356,40.784867,-73.841495,7,30.7,0,0.0,August 1-August 28
11357,Whitestone,11357,40.78639,-73.810964,15,38.7,,,August 1-August 28
11358,Auburndale/Murray Hill,11358,40.760475,-73.79637,12,33.3,0,0.0,August 1-August 28
11360,Bayside (North),11360,40.78205,-73.7808,4,,0,0.0,August 1-August 28
11361,Bayside (North)/Bayside (South),11361,40.763748,-73.772419,10,37.9,0,0.0,August 1-August 28
11362,Douglaston-Little Neck,11362,40.756533,-73.736995,6,33.1,0,0.0,August 1-August 28
11363,Douglaston-Little Neck,11363,40.772803,-73.746444,1,,0,0.0,August 1-August 28
11364,Bayside (South)/Oakland Gardens,11364,40.745279,-73.760578,11,30.8,0,0.0,August 1-August 28
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,11365,40.739775,-73.794806,9,20.5,,,August 1-August 28
11366,Fresh Meadows/Hillcrest,11366,40.728136,-73.784981,10,70.4,,,August 1-August 28
11367,Kew Gardens Hills/Pomonok,11367,40.730383,-73.826297,25,61.5,0,0.0,August 1-August 28
11368,Corona/North Corona,11368,40.749594,-73.852604,32,29.0,,,August 1-August 28
11369,Airport/East Elmhurst,11369,40.768944,-73.872812,16,47.6,,,August 1-August 28
11370,Jackson Heights/Rikers Island,11370,40.763466,-73.891021,8,25.2,0,0.0,August 1-August 28
11372,Jackson Heights,11372,40.75169,-73.883634,15,24.7,0,0.0,August 1-August 28
11373,Elmhurst,11373,40.738823,-73.8785,29,31.6,,,August 1-August 28
11374,Rego Park,11374,40.726441,-73.861497,17,41.1,,,August 1-August 28
11375,Forest Hills,11375,40.720931,-73.846184,24,33.7,,,August 1-August 28
11377,Woodside,11377,40.744823,-73.90516,30,35.7,,,August 1-August 28
11378,Maspeth,11378,40.724768,-73.909399,21,58.1,,,August 1-August 28
11379,Middle Village,11379,40.716758,-73.879597,9,24.6,0,0.0,August 1-August 28
11385,Glendale/Ridgewood,11385,40.701058,-73.890159,26,25.1,0,0.0,August 1-August 28
11411,Cambria Heights,11411,40.694202,-73.735998,9,42.1,0,0.0,August 1-August 28
11412,St. Albans,11412,40.698095,-73.758984,13,34.1,0,0.0,August 1-August 28
11413,Laurelton/Rosedale,11413,40.669738,-73.750842,22,50.9,,,August 1-August 28
11414,Hamilton Beach/Howard Beach/Lindenwood,11414,40.658266,-73.844905,16,56.4,,,August 1-August 28
11415,Kew Gardens,11415,40.708323,-73.828212,5,26.5,0,0.0,August 1-August 28
11416,Ozone Park,11416,40.684652,-73.849549,7,26.5,,,August 1-August 28
11417,Ozone Park,11417,40.676457,-73.844522,10,32.2,0,0.0,August 1-August 28
11418,Richmond Hill,11418,40.700236,-73.836062,9,23.9,0,0.0,August 1-August 28
11419,Richmond Hill/South Ozone Park,11419,40.688676,-73.822901,11,22.7,0,0.0,August 1-August 28
11420,South Ozone Park,11420,40.673518,-73.817812,16,33.4,,,August 1-August 28
11421,Woodhaven,11421,40.69405,-73.85867,9,22.5,0,0.0,August 1-August 28
11422,Rosedale,11422,40.660819,-73.73608,19,58.7,0,0.0,August 1-August 28
11423,Hollis/Holliswood,11423,40.71491,-73.767865,13,41.7,0,0.0,August 1-August 28
11426,Bellerose,11426,40.736521,-73.722384,7,34.7,0,0.0,August 1-August 28
11427,Bellerose/Hollis Hills/Holliswood,11427,40.730915,-73.745611,7,29.7,0,0.0,August 1-August 28
11428,Queens Village,11428,40.721015,-73.742206,4,,0,0.0,August 1-August 28
11429,Queens Village,11429,40.709772,-73.738731,19,68.3,,,August 1-August 28
11432,Hillcrest/Jamaica Estates/Jamaica Hills,11432,40.715359,-73.793064,19,31.3,,,August 1-August 28
11433,Jamaica,11433,40.69823,-73.787095,22,60.2,,,August 1-August 28
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,11434,40.656866,-73.783386,43,64.4,,,August 1-August 28
11435,Briarwood/Jamaica,11435,40.701291,-73.809618,25,42.8,,,August 1-August 28
11436,South Jamaica/South Ozone Park,11436,40.675819,-73.796618,7,34.9,0,0.0,August 1-August 28
11691,Edgemere/Far Rockaway,11691,40.60133,-73.761357,22,32.9,,,August 1-August 28
11692,Arverne/Edgemere,11692,40.592794,-73.792203,5,23.8,0,0.0,August 1-August 28
11693,Arverne/Broad Channel,11693,40.603699,-73.821926,2,,0,0.0,August 1-August 28
11694,Belle Harbor-Neponsit/Rockaway Park,11694,40.577599,-73.844553,2,,0,0.0,August 1-August 28
11697,Breezy Point,11697,40.55907,-73.907199,0,0.0,0,0.0,August 1-August 28
