date,Admit_0_4,Admit_5_12,Admit_13_17,Admit_18_24,Admit_25_34,Admit_35_44,Admit_45_54,Admit_55_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_4,Visit_5_12,Visit_13_17,Visit_18_24,Visit_25_34,Visit_35_44,Visit_45_54,Visit_55_64,Visit_65_74,Visit_75_,Visit_All_ages
2021-09-06,1.681488678,0.1327682372,0.2280557307,0.2764070693,0.3334889615,0.8719802235,1.1363066058,2.1000105001,3.0037847688,3.108003108,1.178747118,30.82729243,6.2401071501,3.6488916918,4.9753272465,5.6026145535,5.8422674974,5.586840812,5.7000285001,8.0100927168,6.9473010649,7.4415853411
2021-09-07,4.2971377326,0.9293776607,0.4561114615,0.8292212078,0.7336757153,0.8719802235,1.1363066058,1.7000085,1.5734110694,4.7534165181,1.4883170682,22.41984904,5.045193015,3.6488916918,5.3899378504,4.2019609151,4.7958912292,3.5983042518,5.7000285001,5.8645321677,8.7755381873,6.131866321
2021-09-08,3.1761452806,0.2655364745,0,0.4146106039,0.666977923,0.6975841788,1.230998823,2.9000145001,2.7177100289,7.3129484894,1.6788216529,25.409162245,5.3107294895,4.1050031533,5.8045484543,6.4696858534,5.8422674974,5.586840812,7.9000395002,7.0088311272,11.152246446,7.7154356816
2021-09-09,2.241984904,0.7966094234,0,0.8292212078,0.6002801307,0.6975841788,0.7575377372,2.8000140001,3.2898595087,6.216006216,1.5954758971,20.364696211,4.6468883033,5.0172260763,4.1461060388,5.4692189689,6.8886437656,5.6815330291,9.0000450002,7.1518684972,9.324009324,7.2391742198
2021-09-10,2.9893132053,0.1327682372,0.2280557307,0.4146106039,0.4668845461,0.4359901117,1.230998823,1.7000085,1.7164484393,5.8503587915,1.2739994104,23.167177341,5.4434977267,5.0172260763,4.422513108,5.6693123458,5.2318813409,4.5452264233,5.7000285001,5.4354200578,8.7755381873,6.6081277829
2021-09-11,3.9234735819,0.5310729489,0.2280557307,0.2764070693,0.4668845461,0.4359901117,0.7575377372,1.9000095,2.1455605491,2.5595319713,1.1430275084,24.661833944,5.5762659639,3.4208359611,4.5607166426,5.4025211765,5.0574852962,4.8293030748,6.0000300002,6.2936442775,5.6675350793,6.5128754905
2021-09-12,2.4288169793,0.7966094234,0.2280557307,0.2764070693,0.5335823384,0.7847822011,1.230998823,1.400007,2.8607473989,5.1190639426,1.3573451662,24.661833944,5.7090342012,2.7366687689,4.8371237119,6.0028013073,6.0166635421,5.4921485948,5.9000295001,7.580980607,9.5068330362,7.179641537
2021-09-13,4.6708018833,1.3276823724,0,1.2438318116,0.5335823384,0.9591782458,1.3256910401,2.3000115001,2.2885979191,6.3988299282,1.7978870184,28.39847545,7.4350212853,4.7891703455,7.4629908698,4.8689388381,6.2782576091,6.3443785492,5.9000295001,8.1531300868,11.335070159,8.0130990952
2021-09-14,3.1761452806,0.2655364745,0.6841671922,0.2764070693,0.4001867538,0.6103861564,1.230998823,1.3000065,2.2885979191,4.9362402304,1.2620928738,25.409162245,8.0988624714,5.4733375378,5.8045484543,5.6693123458,4.4470991398,5.586840812,6.7000335002,8.4392048267,8.5927144751,7.5130245603
2021-09-15,2.4288169793,1.0621458979,1.1402786537,0.9674247424,0.4668845461,1.1335742905,0.4734610858,2.3000115001,3.0037847688,5.3018876548,1.5597562875,31.20095658,8.8954718949,3.6488916918,6.0809555235,6.4696858534,7.0630398103,5.0186875091,6.3000315002,8.5822421966,10.238127885,8.3822017282
