modzcta,modzcta_name,label,lat,lon,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
11219,Borough Park,11219,40.632662,-73.996666,5.31,1337,71,222,No,September 4-September 10
11220,Sunset Park,11220,40.641081,-74.016495,1.75,1881,33,300.2,Yes,September 4-September 10
11221,Bedford-Stuyvesant (East)/Bushwick,11221,40.691339,-73.927885,3.49,2753,96,486.2,Yes,September 4-September 10
11222,Greenpoint,11222,40.728292,-73.947562,1.97,1828,36,836,Yes,September 4-September 10
11223,Gravesend/Homecrest,11223,40.597169,-73.973422,6.15,1464,90,300.6,Yes,September 4-September 10
11224,Brighton Beach/Coney Island/Seagate,11224,40.57666,-73.988581,3.49,1002,35,322,Yes,September 4-September 10
11225,Crown Heights (West)/Prospect Lefferts Gardens,11225,40.663056,-73.954226,1.57,2040,32,606.8,Yes,September 4-September 10
11226,Flatbush/Prospect Lefferts Gardens,11226,40.646456,-73.956654,1.74,3333,58,578.3,Yes,September 4-September 10
11228,Bath Beach/Dyker Heights,11228,40.616715,-74.013054,2.41,1080,26,400.2,Yes,September 4-September 10
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,40.601175,-73.944465,4.59,1654,76,294.5,Yes,September 4-September 10
11230,Midwood,11230,40.622164,-73.965096,4.19,1959,82,367.9,Yes,September 4-September 10
11231,Carroll Gardens/Cobble Hill/Red Hook,11231,40.677562,-74.004445,1.92,1774,34,786.6,Yes,September 4-September 10
11232,Sunset Park,11232,40.655984,-74.005304,2.9,689,20,395,Yes,September 4-September 10
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,11233,40.678302,-73.919931,2.58,2366,61,558.4,Yes,September 4-September 10
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,11234,40.60758,-73.910513,3.75,2211,83,405.1,Yes,September 4-September 10
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,11235,40.583915,-73.949669,3.38,1807,61,338.9,Yes,September 4-September 10
11236,Canarsie,11236,40.640004,-73.901459,3.26,2883,94,510.7,Yes,September 4-September 10
11237,Bushwick/East Williamsburg,11237,40.704153,-73.920883,2.48,1292,32,393.7,Yes,September 4-September 10
11238,Clinton Hill/Prospect Heights,11238,40.679179,-73.963804,2.27,2728,62,844.1,Yes,September 4-September 10
11239,East New York,11239,40.64753,-73.882398,2.49,522,13,683.4,Yes,September 4-September 10
11354,Flushing/Murray Hill,11354,40.76863,-73.827229,2.92,855,25,250.4,No,September 4-September 10
11355,Flushing/Murray Hill/Queensboro Hill,11355,40.751459,-73.821014,4.5,1200,54,238.4,No,September 4-September 10
