MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
11105,Ditmars Steinway,5,5,5,8,23,13.93,13.93,13.93,22.29,64.08,30,0,0,2369,6599.83,0.97
11106,Astoria (South),2,13,9,5,29,5.17,33.62,23.28,12.93,75,-7,1,2.59,2742,7091.79,1.06
11109,Long Island City,0,1,0,2,3,0,19.72,0,39.44,59.16,100,0,0,521,10274.83,0.58
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,7,10,4,8,29,11.49,16.42,6.57,13.13,47.61,-29,0,0,6896,11321.97,0.42
11203,East Flatbush (North)/East Flatbush (South),11,7,4,5,27,14.99,9.54,5.45,6.81,36.79,-50,0,0,4332,5902.52,0.62
11204,Bensonhurst/Mapleton,13,20,34,24,91,16.39,25.21,42.86,30.26,114.72,76,2,2.52,3001,3783.29,3.03
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,4,8,9,4,25,9.09,18.18,20.45,9.09,56.8,8,0,0,3119,7086.51,0.8
11206,Williamsburg (South),13,11,19,9,52,15.21,12.87,22.22,10.53,60.82,17,1,1.17,5610,6561.66,0.93
11207,Cypress Hills/East New York,18,15,13,5,51,20.19,16.82,14.58,5.61,57.2,-45,0,0,5646,6332.67,0.9
11208,Cypress Hills/East New York,30,20,27,14,91,31.38,20.92,28.24,14.64,95.18,-18,2,2.09,5011,5241.21,1.82
11209,Bay Ridge/Fort Hamilton,13,16,15,20,64,19.38,23.85,22.36,29.81,95.41,21,2,2.98,4156,6195.48,1.54
11210,Flatlands/Midwood,12,8,16,21,57,17.89,11.92,23.85,31.3,84.96,85,0,0,3192,4757.84,1.79
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),21,25,5,16,67,21.09,25.1,5.02,16.07,67.27,-54,1,1,7227,7256.41,0.93
11212,Ocean Hill-Brownsville,15,11,12,5,43,18.85,13.82,15.08,6.28,54.03,-35,3,3.77,4485,5635.13,0.96
11213,Crown Heights (East),16,8,11,9,44,24.83,12.42,17.07,13.97,68.3,-17,3,4.66,3700,5743.03,1.19
11214,Bath Beach/Bensonhurst/Gravesend,13,19,22,12,66,13.93,20.36,23.57,12.86,70.71,6,3,3.21,4124,4418.57,1.6
11215,Gowanus/Park Slope/Windsor Terrace,5,10,5,5,25,7.15,14.3,7.15,7.15,35.75,-33,0,0,5777,8260.85,0.43
11216,Bedford-Stuyvesant (West)/Crown Heights (West),7,7,7,3,24,12.6,12.6,12.6,5.4,43.21,-29,1,1.8,4461,8032.38,0.54
11217,Boerum Hill/Park Slope,3,5,9,5,22,6.32,10.53,18.96,10.53,46.34,75,0,0,3821,8048.16,0.58
11218,Kensington/Windsor Terrace,12,14,5,15,46,15.83,18.47,6.6,19.79,60.68,-23,1,1.32,4276,5640.68,1.08
11219,Borough Park,14,16,19,31,80,15.08,17.23,20.46,33.38,86.15,67,2,2.15,3563,3837.04,2.25
11220,Sunset Park,39,39,71,19,168,39.61,39.61,72.12,19.3,170.65,15,1,1.02,6534,6636.87,2.57
