MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11230,Midwood,Brooklyn,11230,40.622164,-73.965096,30899,4536,35435,34761.25,39864.23,88889.21,578,650.25
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,11231,40.677562,-74.004445,10260,2205,12465,27450.31,33349.71,37376.63,101,270.22
11232,Sunset Park,Brooklyn,11232,40.655984,-74.005304,8628,1862,10490,31854.42,38728.89,27085.73,102,376.58
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,11233,40.678302,-73.919931,21216,3843,25059,28545.52,33716.17,74323.4,384,516.66
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,11234,40.60758,-73.910513,26339,5868,32207,28003.51,34242.34,94056.07,478,508.21
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,11235,40.583915,-73.949669,28510,6766,35276,36458.91,45111.35,78197.62,900,1150.93
11236,Canarsie,Brooklyn,11236,40.640004,-73.901459,27972,5140,33112,28802.31,34094.89,97117.19,609,627.08
11237,Bushwick/East Williamsburg,Brooklyn,11237,40.704153,-73.920883,15708,2603,18311,32724.6,38147.45,48000.58,197,410.41
11238,Clinton Hill/Prospect Heights,Brooklyn,11238,40.679179,-73.963804,15595,3624,19219,29123.07,35890.75,53548.62,239,446.32
11239,East New York,Brooklyn,11239,40.64753,-73.882398,5896,556,6452,45276.18,49545.78,13022.3,200,1535.83
11354,Flushing/Murray Hill,Queens,11354,40.76863,-73.827229,16450,3429,19879,30508.81,36868.37,53918.85,608,1127.62
11355,Flushing/Murray Hill/Queensboro Hill,Queens,11355,40.751459,-73.821014,25425,4373,29798,32243.59,37789.36,78852.89,510,646.77
11356,College Point,Queens,11356,40.784867,-73.841495,7799,1940,9739,34185.12,42688.67,22814.02,91,398.88
11357,Whitestone,Queens,11357,40.78639,-73.810964,11890,2872,14762,30711.8,38130.15,38714.77,264,681.91
11358,Auburndale/Murray Hill,Queens,11358,40.760475,-73.79637,9947,3054,13001,27611.68,36089.21,36024.61,149,413.61
11360,Bayside (North),Queens,11360,40.78205,-73.7808,5005,1403,6408,26279.33,33645.94,19045.39,122,640.58
11361,Bayside (North)/Bayside (South),Queens,11361,40.763748,-73.772419,7441,2380,9821,28217.03,37242.24,26370.6,172,652.24
11362,Douglaston-Little Neck,Queens,11362,40.756533,-73.736995,4479,1507,5986,24743.51,33068.69,18101.72,120,662.92
11363,Douglaston-Little Neck,Queens,11363,40.772803,-73.746444,1569,592,2161,23295.13,32084.62,6735.31,21,311.79
