MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,11216,40.680785,-73.94931,17546,4408,21954,32003.44,40043.51,54825.36,204,372.09
11217,Boerum Hill/Park Slope,Brooklyn,"11217, 11243",40.682417,-73.97938,12728,3871,16599,31142.1,40613.43,40870.72,201,491.79
11218,Kensington/Windsor Terrace,Brooklyn,11218,40.64348,-73.976044,24940,4048,28988,33704.56,39175.13,73995.92,400,540.57
11219,Borough Park,Brooklyn,11219,40.632662,-73.996666,29749,4624,34373,33024.16,38157.23,90082.53,463,513.97
11220,Sunset Park,Brooklyn,11220,40.641081,-74.016495,34393,7029,41422,36359.79,43790.75,94590.76,431,455.65
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,11221,40.691339,-73.927885,28112,5218,33330,34518.35,40925.46,81440.74,396,486.24
11222,Greenpoint,Brooklyn,11222,40.728292,-73.947562,12569,3911,16480,34794.61,45621.38,36123.42,92,254.68
11223,Gravesend/Homecrest,Brooklyn,11223,40.597169,-73.973422,30594,5203,35797,37542.5,43927.2,81491.64,416,510.48
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,11224,40.57666,-73.988581,20591,2997,23588,44501.06,50978.15,46270.81,629,1359.39
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,11225,40.663056,-73.954226,16587,3563,20150,28840.09,35035.14,57513.69,304,528.57
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,11226,40.646456,-73.956654,31826,5999,37825,32690.64,38852.62,97355.08,648,665.6
11228,Bath Beach/Dyker Heights,Brooklyn,11228,40.616715,-74.013054,15126,3007,18133,33626.02,40310.77,44983.02,261,580.22
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,11229,40.601175,-73.944465,29834,6642,36476,35715.88,43667.37,83531.47,503,602.17
11230,Midwood,Brooklyn,11230,40.622164,-73.965096,34567,5312,39879,38887.74,44863.71,88889.21,593,667.12
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,11231,40.677562,-74.004445,11025,2884,13909,29497.04,37213.09,37376.63,103,275.57
